Temperature,Humidity,Battery_Level,fault
33.9,87.1,20.82,1
26.01,47.33,50.42,0
2.36,63.13,55.26,0
48.12,40.55,71.15,1
36.7,86.32,19.99,1
33.69,95.4,14.51,1
30.48,55.44,5.55,1
39.94,83.89,19.04,1
15.34,79.83,48.35,0
35.22,50.56,26.24,1
13.4,63.9,28.78,0
16.54,87.85,38.98,1
18.53,73.8,55.34,0
59.27,95.14,0.01,1
37.66,82.03,22.1,1
30.36,71.62,77.82,0
39.97,37.73,62.1,1
36.77,75.45,14.52,1
24.66,93.6,8.24,1
28.36,36.1,0.55,1
38.66,66.01,5.79,1
7.75,87.55,76.23,1
47.68,90.77,2.25,1
64.16,87.68,4.27,1
26.91,88.81,66.77,1
15.42,35.27,98.88,0
33.0,82.45,15.76,1
29.47,44.1,9.86,1
14.35,54.64,83.26,0
61.83,42.82,65.36,1
21.33,51.59,55.55,0
31.7,70.9,8.44,1
28.05,41.93,66.67,0
27.0,64.57,57.23,0
1.34,47.91,73.33,0
8.69,64.04,35.27,0
41.83,88.39,11.9,1
57.87,53.7,37.39,1
4.15,62.64,12.6,0
23.35,37.74,46.9,0
28.01,64.0,66.36,0
13.21,69.65,77.41,0
24.86,57.92,57.04,0
7.91,62.6,92.59,0
36.72,43.76,1.79,1
2.09,55.81,12.62,0
10.36,73.57,77.37,0
11.81,53.8,15.16,0
11.22,46.84,93.28,0
17.1,69.72,46.56,0
31.37,46.16,12.9,1
26.22,51.3,73.8,0
11.5,98.1,54.37,1
62.97,79.88,2.81,1
30.31,52.81,91.5,0
51.34,37.45,43.5,1
10.79,49.24,5.23,0
6.57,83.14,69.71,1
24.94,90.59,0.0,1
38.78,59.41,9.78,1
33.72,75.74,16.22,1
39.54,72.75,15.39,1
30.95,59.67,1.85,1
24.35,60.78,8.24,1
20.58,48.14,59.22,0
20.27,64.66,49.29,0
47.64,99.76,5.01,1
11.18,89.48,38.73,1
20.43,86.02,65.25,1
7.52,48.81,79.69,0
34.85,84.09,21.54,1
6.59,42.15,8.03,0
25.34,97.03,10.02,1
19.29,61.73,59.61,0
58.89,91.34,13.03,1
13.26,65.32,18.44,0
27.12,57.34,79.9,0
30.87,52.35,84.77,0
12.57,95.83,73.49,1
16.4,64.68,4.77,0
27.78,63.29,46.42,0
15.84,78.32,43.14,0
6.45,66.42,17.69,0
11.7,67.63,51.22,0
25.33,45.89,11.62,1
11.5,69.46,45.97,0
33.94,82.94,18.5,1
39.93,83.33,9.28,1
29.29,88.75,13.39,1
21.07,41.65,44.91,0
18.94,54.59,58.23,0
36.39,86.86,6.98,1
24.96,51.35,61.13,0
51.13,85.44,12.56,1
32.7,62.58,6.66,1
56.05,53.19,28.05,1
6.07,47.67,2.9,0
33.24,69.02,11.13,1
10.63,59.43,62.33,0
10.22,59.0,63.75,0
19.86,45.35,52.69,0
47.6,69.88,71.08,1
31.99,73.59,51.49,1
48.92,91.89,8.56,1
17.54,45.55,14.96,0
33.42,82.7,18.59,1
34.99,97.33,3.73,1
23.77,56.44,10.99,1
24.21,100.0,70.77,1
33.78,81.59,14.26,1
9.28,36.79,18.12,0
34.71,84.12,17.07,1
20.0,60.23,49.37,0
23.64,48.45,61.16,0
25.48,55.55,1.46,1
38.05,83.57,12.06,1
9.42,60.28,92.56,0
3.5,63.91,57.33,0
51.97,85.37,5.5,1
21.05,91.25,45.3,1
36.38,82.14,18.08,1
19.91,55.85,64.43,0
14.63,82.93,45.33,0
9.9,86.87,72.07,1
34.43,35.21,1.69,1
40.09,49.74,4.04,1
12.53,66.18,8.53,0
9.91,57.51,95.78,0
55.94,36.1,67.43,1
12.78,51.07,10.52,0
30.86,63.11,50.3,0
43.16,52.79,61.69,1
10.44,65.67,40.42,0
26.98,90.53,0.86,1
56.52,54.26,37.49,1
42.67,33.71,70.01,1
33.3,46.54,75.59,1
